date,Argentina,Australia,Brazil,China,France,Germany,India,Indonesia,Italy,Japan,S. Korea,Mexico,Netherlands,Russia,Saudi Arabia,Spain,Switzerland,Turkey,UK,U.S.,Albania,Algeria,Angola,Antigua and Barbuda,Armenia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Estonia,Ethiopia,Fiji,Finland,Gabon,Gambia,Georgia,Ghana,Greece,Greenland,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,Iran,Ireland,Israel,Jamaica,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyz Republic,Laos,Latvia,Lebanon,Lesotho,Liberia,Lithuania,Luxembourg,Macau,Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Micronesia,Moldova,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,New Zealand,Nicaragua,Niger,Nigeria,Norway,Oman,Pakistan,Palau,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Rwanda,Samoa,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovak Republic,Slovenia,Solomon Islands,South Africa,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Vincent and the Grenadines,Sudan,Suriname,Swaziland,Sweden,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkmenistan,Tuvalu,Uganda,Ukraine,UAE,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,-5.46,-8.80,-14.65,10.57,1.01,0.04,3.64,-2.77,1.80,-11.95,-5.09,6.01,3.33,18.06,-2.84,5.13,2.57,-26.64,-1.37,3.28,11.80,-0.083,-2.12,-3.57,10.82,0.27,8.25,2.99,-0.96,1.16,-0.16,-3.00,-0.03,4.78,4.32,8.47,-3.05,4.41,-5.16,-6.67,7.51,7.00,0.72,4.41,9.03,3.72,-0.80,1.90,23.41,-8.84,-1.68,7.97,-61.03,-13.22,6.45,4.44,6.96,3.65,3.77,9.60,0.39,3.84,2.17,3.74,33.50,-2.21,5.17,39.69,9.84,-0.13,-1.43,2.96,-0.97,-12.20,5.30,6.66,4.65,1.70,0.08,-3.04,-5.41,5.97,-2.30,-9.04,6.51,-1.32,13.74,-8.94,15.77,9.28,-1.24,1.78,6.09,21.11,2.21,-6.17,37.10,-7.48,11.35,2.16,5.20,2.26,-6.94,-1.52,6.18,0.04,1.35,-1.68,16.81,-1.55,-1.07,39.38,17.30,0.60,3.80,0.15,-1.00,2.93,14.92,11.53,17.84,1.55,-4.97,-27.26,-9.26,9.33,2.37,4.23,8.17,-4.85,1.57,-0.28,-2.22,7.17,1.61,-6.51,0.55,-5.88,10.84,2.69,-1.25,8.76,-3.47,1.51,4.23,87.56,1.20,69.76,-6.83,5.45,2.62,-7.96,-10.89,-3.58,9.65,-5.15,8.52,7.55,-14.43,-11.26,-7.65,25.59,1.94,-4.82,2.94,-10.44,8.22,2.76,21.69,-3.97,-5.70,21.59,-0.98,-8.43,-17.14,-5.18,4.92,4.91,-7.18,2.26,13.71,1.31
2002,-65.61,-5.01,-22.50,21.40,9.64,6.62,9.94,18.57,10.93,-15.80,8.44,8.47,12.73,32.88,0.05,18.43,10.85,-12.66,7.47,6.74,22.11,3.596,36.89,-1.90,24.31,8.43,18.27,9.96,6.28,2.54,1.54,14.59,8.81,12.08,18.89,12.74,-5.86,20.80,-6.04,-2.63,24.43,21.94,-5.18,15.16,17.24,17.15,2.11,8.41,43.50,-10.43,-1.96,21.04,-54.27,-6.21,10.40,15.21,23.44,9.90,14.09,32.90,8.82,7.24,-1.58,10.73,55.77,-12.01,8.93,72.73,28.78,-4.75,9.42,11.16,4.79,-26.14,11.07,23.75,18.21,9.47,3.90,7.71,-1.53,12.34,1.37,-12.18,9.45,-3.10,43.11,2.83,17.37,28.13,-8.54,8.56,13.26,34.69,3.48,7.35,46.14,1.13,17.23,1.56,20.27,10.96,-12.57,2.63,23.74,11.07,8.96,6.51,13.40,100.50,7.52,43.68,31.67,8.91,12.44,2.38,4.03,3.57,28.98,22.84,30.50,8.70,0.30,-23.89,-14.01,10.13,26.61,2.29,20.69,27.45,14.07,3.26,-2.23,9.51,5.61,-22.83,5.86,0.41,15.59,13.41,9.03,23.33,-3.31,7.08,13.98,146.43,13.44,94.85,-4.06,20.50,15.84,-21.48,-15.31,1.26,14.89,-4.57,16.56,20.77,20.87,-17.60,1.59,41.90,6.09,6.26,13.94,-9.70,10.47,7.77,53.62,12.44,-0.24,35.61,5.25,-40.38,-29.60,-3.46,-20.70,12.81,-17.57,10.97,16.47,-5.20
2003,-55.11,12.37,-14.82,37.06,35.05,28.50,29.74,42.27,37.48,-9.04,21.17,4.34,38.53,65.70,13.87,52.31,29.57,14.23,24.03,11.92,58.23,23.861,55.42,3.01,46.85,32.74,38.00,9.83,22.20,12.72,4.91,39.95,34.09,19.02,52.01,15.82,-3.76,52.02,29.77,9.27,60.29,59.98,-9.86,50.95,27.48,46.67,20.22,24.63,97.58,-2.85,-5.21,55.79,-53.18,8.57,15.03,42.83,59.17,17.46,43.14,61.53,32.86,12.85,3.67,-11.33,76.96,-16.94,14.56,137.55,72.96,4.63,37.52,36.27,28.21,-37.79,30.55,53.17,55.17,31.82,13.65,13.63,15.06,28.69,4.11,-25.13,14.59,-5.99,80.16,26.36,40.11,64.52,-4.27,5.26,20.51,68.56,17.31,34.17,81.43,26.95,40.11,16.87,48.01,16.35,30.49,-21.37,62.95,39.00,21.94,31.10,41.17,84.05,17.50,67.12,59.22,26.71,14.38,20.83,22.42,5.04,53.75,40.32,73.50,33.99,11.58,17.54,26.16,15.22,67.70,4.21,51.88,45.85,33.53,10.90,12.57,7.10,11.30,-19.62,13.50,3.56,26.55,39.38,32.51,59.91,6.40,25.95,46.57,223.97,14.77,115.68,1.22,60.51,45.99,-23.53,28.52,15.62,10.78,5.06,21.59,43.97,42.48,26.44,27.45,80.60,14.46,20.48,29.32,0.09,38.64,27.85,105.79,32.67,2.32,60.37,19.18,-47.22,-26.40,15.61,-28.62,26.98,-8.01,22.22,36.14,-14.39
2004,-42.06,47.63,2.12,61.42,55.22,44.58,51.40,55.64,57.50,-1.48,36.19,12.67,57.59,127.57,36.53,79.64,44.87,48.28,46.08,19.35,101.40,55.730,115.13,10.70,87.10,52.66,64.63,12.12,45.10,22.00,12.58,81.69,55.90,27.13,75.99,12.97,4.47,82.04,54.75,31.18,98.47,84.05,5.14,71.42,46.08,69.86,37.84,38.88,218.75,27.42,17.21,80.60,-46.05,44.37,23.95,54.47,90.93,24.99,71.09,93.54,53.13,20.83,7.05,-8.15,99.65,-21.03,20.28,321.68,112.09,22.92,61.96,56.74,53.05,-26.07,67.63,78.23,84.83,51.85,15.21,24.24,22.40,43.48,10.28,-10.52,23.49,-1.50,119.65,53.18,67.62,94.15,2.28,13.68,34.88,135.90,26.68,52.21,96.84,57.62,61.46,36.69,81.07,21.41,70.32,-10.28,96.29,63.12,57.51,50.62,12.54,99.37,33.01,92.56,84.30,40.79,18.18,41.73,39.35,2.72,101.66,75.22,110.64,53.45,36.19,18.67,69.03,32.39,97.45,13.48,69.76,89.38,54.31,26.94,32.49,17.41,22.02,-1.98,29.03,12.77,48.41,59.84,78.68,103.58,20.42,56.24,71.62,280.13,36.50,125.08,19.15,96.60,69.45,-13.79,67.64,26.52,19.51,13.89,31.72,75.06,66.35,59.37,46.92,141.26,25.92,36.79,49.67,13.34,62.86,45.22,135.43,56.71,28.21,107.55,41.68,-40.03,-12.57,34.18,-4.00,46.92,0.36,43.97,72.77,-13.22
2005,-30.07,66.99,36.04,88.71,61.04,46.74,75.03,73.23,62.26,-2.70,59.92,26.72,64.37,194.18,73.32,94.37,50.02,83.69,53.36,27.31,124.63,88.351,209.25,22.97,156.36,60.19,151.22,21.79,76.20,30.12,24.85,137.19,62.82,33.91,86.97,16.53,13.71,103.87,71.57,58.83,126.81,107.79,28.35,80.25,72.22,78.61,57.53,47.65,379.88,57.93,46.73,86.60,-37.32,89.04,33.46,59.42,108.58,39.52,83.66,121.21,61.10,28.55,-1.17,41.71,126.47,-10.17,30.15,685.60,146.34,50.46,78.53,62.85,86.64,-20.28,109.68,115.36,90.41,55.07,33.71,41.07,-1.95,58.52,15.75,9.02,36.16,5.77,138.49,86.58,100.60,111.99,7.89,25.48,48.79,212.29,47.48,66.73,102.07,114.25,79.62,58.02,113.19,23.33,89.60,3.96,126.41,75.64,79.93,65.89,29.96,109.69,53.04,79.36,111.40,48.50,24.16,68.86,37.12,7.13,131.94,121.96,129.32,60.44,53.97,34.61,85.78,47.98,118.00,23.77,89.35,141.99,80.21,59.33,48.07,29.47,33.08,6.57,46.99,27.21,78.10,66.70,150.74,166.30,48.79,71.97,86.06,301.39,49.48,156.00,32.96,115.35,78.68,-4.87,89.04,49.45,29.17,21.30,38.98,116.40,101.06,82.85,49.75,168.70,66.21,49.79,63.43,29.56,96.00,50.29,179.01,58.92,45.54,175.55,73.11,-23.92,3.98,45.20,24.22,71.32,12.01,73.86,131.40,-13.97
2006,-18.17,79.94,69.00,127.20,69.90,53.98,99.14,120.92,70.14,-7.31,80.15,41.20,76.03,281.17,98.88,112.39,57.99,102.40,63.76,34.72,147.59,113.591,357.74,39.21,233.99,70.20,297.96,25.89,104.18,34.57,37.85,190.20,72.26,46.32,100.16,9.63,36.37,133.68,74.95,91.14,160.91,122.32,46.26,105.46,99.08,93.31,77.21,59.71,435.87,98.80,62.77,99.22,-25.10,140.11,51.18,66.10,131.71,72.56,100.36,152.48,72.32,39.48,5.40,49.83,155.36,7.66,41.24,864.30,198.35,85.39,84.24,72.50,100.36,-16.33,153.33,309.58,110.03,70.29,34.32,56.73,-2.13,59.88,104.65,20.29,52.62,12.74,143.17,90.51,136.01,132.50,16.70,33.33,77.97,342.84,103.26,61.40,120.54,169.28,106.92,99.45,170.19,26.28,102.88,14.17,161.86,99.47,120.07,81.86,42.25,129.30,73.46,136.20,133.56,56.92,29.49,135.05,53.38,8.47,164.53,200.30,173.91,76.65,65.70,62.86,104.13,64.60,112.09,32.43,102.78,213.52,101.63,90.78,85.61,30.41,47.44,29.89,71.31,50.83,100.61,76.22,242.81,229.96,81.68,89.02,99.99,367.99,65.30,196.46,54.22,142.48,94.61,4.96,99.20,73.17,51.29,35.51,54.17,192.25,194.38,89.36,61.67,228.89,82.71,75.45,70.20,45.35,125.27,60.10,253.83,66.66,60.54,244.68,112.88,-14.21,25.95,61.53,56.63,97.30,13.83,98.02,254.29,-18.63
2007,1.17,105.51,113.16,193.24,94.61,76.41,159.90,161.92,92.95,-7.62,99.90,52.63,103.34,400.45,119.49,148.46,75.74,147.55,87.29,40.77,194.63,146.352,562.12,57.79,381.61,96.75,526.83,31.47,139.77,49.17,45.63,255.47,98.32,55.10,132.35,33.23,56.23,186.53,88.98,104.09,240.47,157.57,55.78,180.76,136.43,120.00,97.36,85.69,523.71,122.97,107.65,126.86,-14.27,160.71,78.89,89.83,175.98,91.73,136.44,207.15,94.58,53.82,7.94,84.07,178.31,30.69,53.07,1149.69,291.10,139.10,102.19,103.43,145.45,2.04,232.72,396.86,144.75,91.86,45.86,76.85,38.02,87.91,144.20,48.85,72.81,23.26,194.85,138.04,207.94,170.43,35.63,43.62,102.24,473.20,151.53,94.42,161.39,203.99,177.62,143.93,289.30,42.39,105.19,39.69,244.38,139.32,172.90,120.96,89.36,154.21,106.36,179.66,175.74,83.00,35.98,159.48,77.85,9.72,241.59,272.51,272.75,103.41,86.72,126.64,123.63,87.93,160.94,45.35,138.62,258.84,134.00,115.74,106.06,31.28,70.33,68.31,97.45,84.34,149.73,102.92,348.83,358.18,120.46,104.81,141.14,516.02,68.09,239.45,87.81,196.43,136.53,18.61,119.57,98.09,60.28,46.72,64.49,274.46,229.16,99.61,87.76,332.22,111.10,108.04,94.97,48.32,165.41,81.19,335.99,96.70,98.49,356.53,147.19,2.57,62.14,93.53,96.66,130.13,27.64,124.74,290.40,-20.90
2008,27.22,154.02,158.74,279.59,113.64,92.43,156.83,209.19,109.39,3.08,78.45,61.09,126.80,539.50,174.28,174.60,103.03,179.99,75.82,43.11,254.66,212.101,822.03,64.74,510.08,117.70,826.53,30.33,183.69,71.69,47.21,376.98,118.00,64.48,177.63,5.20,98.55,246.92,89.09,139.84,315.78,218.37,85.14,231.83,183.30,151.12,108.70,117.08,647.40,130.72,144.26,156.63,0.62,268.30,104.78,126.04,223.69,98.94,173.38,282.61,115.26,81.25,8.74,101.24,236.99,63.08,63.17,1788.14,325.52,228.39,109.20,126.02,206.02,23.36,318.49,472.48,172.38,116.36,58.82,102.90,50.76,133.44,169.77,65.62,94.12,27.73,233.18,97.19,262.43,175.32,63.72,53.19,159.70,629.51,182.52,106.87,207.57,290.85,275.26,214.46,348.44,67.03,110.61,60.67,314.68,162.66,211.25,162.65,142.75,205.19,146.10,237.95,230.07,108.47,37.83,207.53,118.01,12.05,369.94,394.61,359.19,138.07,129.14,257.80,117.13,128.34,153.27,66.37,200.46,348.55,169.65,212.22,129.98,32.69,99.30,125.77,132.97,114.99,210.56,121.37,549.05,456.06,180.16,139.44,186.96,653.18,57.30,294.02,100.58,244.58,173.27,39.80,110.30,149.31,75.72,51.38,75.49,344.85,296.00,89.52,97.83,499.77,168.69,130.54,144.42,72.69,241.78,108.90,563.47,120.42,129.91,475.76,202.36,33.05,114.74,123.50,169.72,194.68,54.71,179.26,397.43,-34.00
2009,17.16,123.17,154.34,321.84,96.85,75.29,186.48,226.98,91.39,7.04,60.59,30.91,107.83,370.78,126.42,151.77,98.60,136.16,44.74,40.19,231.61,150.430,726.90,47.53,352.40,102.42,740.03,23.59,153.10,92.01,47.40,286.35,103.67,60.68,176.24,0.51,106.48,219.66,77.38,78.84,293.85,218.35,99.86,217.46,184.67,151.75,84.72,116.70,568.09,121.41,134.09,157.13,-4.32,197.94,104.44,126.53,187.97,103.11,154.76,234.66,95.69,90.32,6.74,101.60,241.12,89.29,57.31,1336.69,245.64,293.54,70.45,100.33,138.07,15.04,252.15,421.33,153.59,117.68,48.31,95.63,53.90,123.09,184.22,66.54,105.36,24.69,175.30,44.05,264.06,136.11,57.16,34.82,181.55,530.38,191.39,93.99,205.74,180.81,242.42,236.93,229.69,103.59,110.08,118.34,224.46,141.59,219.55,149.19,120.50,255.09,115.65,244.25,244.64,98.05,37.58,183.73,99.21,18.99,322.17,303.19,320.75,139.07,117.52,314.44,127.09,133.97,130.58,62.49,200.11,265.37,125.54,148.05,127.38,24.85,116.14,94.36,133.50,107.75,155.87,105.94,450.67,347.19,210.06,108.52,173.72,551.61,37.82,291.58,100.77,205.50,147.00,37.38,117.02,157.59,71.98,50.60,70.32,333.62,334.38,106.00,65.38,478.64,180.53,122.89,144.39,57.22,135.15,102.37,595.93,97.21,242.37,274.99,143.01,38.72,144.83,124.28,181.53,215.14,68.49,160.79,325.71,25.06
