0,1,2,3,4,5,6,7,8,9,10,11,id
40.09,43.04,51.14,60.01,68.26,75.79,78.83,78.02,72.35,60.88,49.89,42.23,101
41.11,44.07,51.9,60.35,68.47,75.74,78.52,77.84,72.57,61.37,50.61,42.99,102
43.35,46.37,54.07,62.16,70.22,77.49,80.16,79.64,74.46,63.17,52.38,45.1,103
42.65,45.64,53.19,61.18,69.26,76.49,79.14,78.51,73.31,62.12,51.5,44.22,104
43.89,46.78,53.95,61.61,69.55,76.44,78.79,78.22,73.46,62.74,52.51,45.25,105
46.18,49.2,56.47,63.94,71.84,78.62,80.83,80.35,75.8,65,54.64,47.66,106
48.23,51.17,57.94,64.99,72.62,78.94,80.77,80.29,76.27,66.01,56.09,49.6,107
50.69,53.42,59.7,66.39,73.55,79.52,81.19,80.96,77.32,67.93,58.26,52.24,108
42.78,46.35,51.37,58.58,67.3,77.13,83.12,81.24,74.63,63.2,51.33,43.2,201
31.26,35.88,41.66,49.08,57.57,67.27,72.89,70.7,64.04,52.64,40.66,31.99,202
41.35,44.36,48.67,55.28,63.29,72.84,78.39,76.31,70.83,60.15,49.38,41.92,203
41.35,44.54,49.17,55.82,63.95,73.61,78.27,76.2,71.17,60.72,49.38,41.85,204
52.57,56.58,61.61,68.45,76.09,85.1,91.25,90.08,84.29,72.55,60.6,52.55,205
50.8,54.33,59.09,66.17,74.41,83.82,88.85,87.05,81.96,70.64,58.89,51.18,206
45.63,48.79,53.39,60.18,68.09,77.64,80.78,78.67,74.46,64.34,53.23,46.08,207
35.23,38.86,47.38,57.12,65.08,73.07,77.38,76.68,69.68,58.89,46.81,37.79,301
35.82,39.36,48.15,58,66,74.07,78.23,77.19,70.29,59.15,47.23,38.24,302
37.34,40.85,49.91,59.88,68.58,76.82,80.25,78.9,72.19,60.88,48.79,39.91,303
38.39,42.15,50.45,59.89,67.82,75.68,79.8,79.16,72.46,61.32,49.31,40.56,304
40.32,43.93,52.21,61.38,69.38,77.24,81.01,80.17,73.62,62.38,50.67,42.39,305
40.26,43.77,52.46,61.86,70.41,78.33,81.41,80.34,74.02,62.79,51.12,42.7,306
41.91,45.49,53.32,61.96,69.91,77.5,81.06,80.67,74.44,63.31,51.86,43.84,307
42.83,46.44,54.34,62.85,70.73,78.26,81.53,80.95,74.96,63.73,52.49,44.73,308
42.71,46.24,54.33,63.07,71.18,78.68,81.54,80.79,74.88,63.8,52.66,44.8,309
39.41,41.74,44.33,48.14,54.01,60.51,67.06,66.58,62.51,54.33,45.03,39.7,401
39.05,41.93,45.34,50.43,57.63,65.29,71.97,70.54,65.28,56.35,46.03,39.61,402
28.6,31.24,35.53,41.27,48.78,56.91,64.66,63.18,56.29,46.61,36.52,29.77,403
47.11,49.01,51.17,54.19,59.02,64.55,68.84,68.59,66.37,60.59,52.86,47.52,404
41.82,44.89,48.27,53.24,60.21,68.02,74.48,73.09,67.88,59.03,49.08,42.29,405
49.14,50.06,52.06,55.32,59.86,65.68,71.44,71.75,68.62,61.97,55.26,49.87,406
46.28,49.88,54.8,61.44,69.47,78.61,85.05,83.45,76.77,65.71,54.27,46.49,407
28.67,31.81,38.44,47.23,56.49,66.52,71.65,69.67,62.03,50.57,37.94,29.65,501
20.93,24.45,31.21,39.54,48.63,57.92,63.97,61.92,54.32,43.64,30.99,22.17,502
27.18,30.58,38.22,47.96,57.86,68.2,74.3,72.3,63.48,51.15,37.44,28.45,503
24.44,27.12,33.6,42.31,51.51,61.34,67.36,65.48,57.34,46.18,33.69,25.6,504
18.64,22.82,29.63,37.69,46.38,55.14,59.98,58.16,51.64,41.69,29.3,20.02,505
